화장실명,구분명,소재지도로명주소,소재지지번주소,개방시간,개방시간상세,비상벨설치여부,전화번호,위도,경도
문화예술진흥원,개방화장실,제주특별자치도 제주시 동광로 69,,정시,09:00~18:00,Y,0647107621,33.5044440,126.5351724
이호테우해변(상황실1층),공중화장실,,제주특별자치도 제주시 이호일동 1665-6,상시,,Y,0647284935,33.4974579,126.4540556
공항입구주차장,개방화장실,제주특별자치도 제주시 다호북길 7,,상시,24시간,Y,0647283826,33.5036750,126.4957131
마중오름,공중화장실,,제주특별자치도 제주시 한경면 저지리 2181,상시,,N,0647287954,33.3345938,126.2760292
민속오일시장B(문화광장),공중화장실,제주특별자치도 제주시 오일장서길 26,,정시,06:00~22:00,Y,0647282827,33.4972470,126.4748884
봉글레산,공중화장실,,제주특별자치도 제주시 추자면 대서리 산175,상시,,N,0647284283,,
절물자연휴양림 3,개방화장실,제주특별자치도 제주시 명림로 584,,상시,24시간,Y,0647283637,33.4400493,126.6252036
원당봉,공중화장실,제주특별자치도 제주시 원당로16길 16-30,,상시,24시간,Y,0647283605,33.5260045,126.5982201
애월보건지소,개방화장실,제주특별자치도 제주시 애월로 167,,정시,09:00~18:00,N,,33.4641716,126.3249915
사라봉축구장,개방화장실,제주특별자치도 제주시 동문로169,,정시,08:00~22:00,Y,0647283279,33.5137004,126.5444230
일도1동 주민센터 앞,개방화장실,제주특별자치도 제주시 중앙로7길 15,,상시,,Y,0647284416,33.5150583,126.5263771
보건환경연구원,개방화장실,제주특별자치도 제주시 삼동길 41,,정시,09:00~18:00,Y,0647106063,33.4799396,126.4950536
야외화장실(야외매점),개방화장실,제주특별자치도 제주시 임항로 191,,상시,24시간,Y,0647108693,33.5258374,126.5440785
인제 공영주차장,개방화장실,제주특별자치도 제주시 고마로19길 5,제주특별자치도 제주시 일도2동 409-11,정시,12:00~22:00,Y,0647283823,33.5048166,126.5419257
한림중앙상가(1층 서쪽),공중화장실,제주특별자치도 제주시 한림읍 한림북동길 2,,정시,09:00~18:00,Y,0647287631,33.4155049,126.2648394
차귀도,공중화장실,,제주특별자치도 제주시 한경면 고산리 산34,상시,,N,0647287954,33.3109615,126.1611091
수원리,공중화장실,제주특별자치도 제주시 한림읍 한림해안로 271,,상시,24시간,Y,0647287652,33.4254439,126.2643979
신촌문화의집,개방화장실,제주특별자치도 제주시 신촌서5길 63,,정시,09:00~18:00,N,,33.5345951,126.6146264
시민복지타운(도시재생과),개방화장실,제주특별자치도 제주시 연삼로 286,,상시,,Y,0647284505,33.4918468,126.5238514
삼화제6호 근린공원,개방화장실,,제주특별자치도 제주시 도련1동 1912,상시,24시간,Y,0647283605,33.5130293,126.5837381
현사어촌정주어항,공중화장실,제주특별자치도 제주시 테우해안로 143,,상시,,Y,0647284935,33.4975282,126.4495819
노형 제5 공영주차장,개방화장실,제주특별자치도 제주시 노형9길 15,제주특별자치도 제주시 노형동 3793,정시,09:00~18:00,Y,0647283823,33.4832845,126.4768429
노형 제2 공영주차장,개방화장실,제주특별자치도 제주시 월랑로2길 1,,정시,09:00~18:00,Y,0647283823,33.4872972,126.4798118
화북동,개방화장실,제주특별자치도 제주시 진남로6길 17,,정시,09:00~18:00,N,,33.5202141,126.5653711
용담1동,개방화장실,제주특별자치도 제주시 용남3길 11,,정시,09:00~18:00,Y,,33.5091113,126.5132777
연동주민센터,개방화장실,제주특별자치도 제주시 신대로 101,,정시,09:00~18:00,Y,,33.4883782,126.4969230
오봉리 전흘동 광장,공중화장실,,제주특별자치도 제주시 우도면 연평리 890-2,상시,,Y,0647284342,33.5191281,126.9503466
용담체육공원,개방화장실,제주특별자치도 제주시 서해안로 580,,상시,,Y,0647284636,33.5182371,126.4994427
노형 정존 공영주차장,개방화장실,제주특별자치도 제주시 수덕5 길34,,정시,09:00~18:00,Y,0647283823,33.4854762,126.4747532
화북일동 공영주차장,개방화장실,제주특별자치도 제주시 화남로 44,제주특별자치도 제주시 화북1동 2130-6,정시,09:00~18:00,Y,0647283242,33.5140919,126.5631294
하도별방진,공중화장실,,제주특별자치도 제주시 구좌읍 하도리 1768-1,상시,,Y,0647287745,33.5263590,126.8848154
주경기장 2층(내8문),개방화장실,제주특별자치도 제주시 서광로2길 24,,상시,24시간,Y,0647283279,33.4950629,126.5187972
제주시청안내도움센터,개방화장실,제주특별자치도 제주시 광양9길 10,,정시,09:00~18:00,N,0647282424,33.5002142,126.5322175
제주시청복지동,개방화장실,제주특별자치도 제주시 동광로6길 22,,정시,09:00~18:00,N,0647282424,33.5002783,126.5325126
북촌어촌정주어항,공중화장실,,제주특별자치도 제주시 조천읍 북촌리 1363-4지선,상시,,Y,0647287862,33.5509142,126.6935147
한림읍 주민자치센터,개방화장실,제주특별자치도 제주시 한림로 636,,정시,09:00~18:00,N,,33.4125612,126.2618283
성판악 탐방안내소 화장실,개방화장실,제주특별자치도 제주시 조천읍 516로 1865,,상시,24시간,N,0647107826,33.3844995,126.6194071
제주현대미술관 야외화장실,개방화장실,제주특별자치도 제주시 한경면 저지12길 85-2,,상시,00:00~24:00,N,0647107802,33.3385868,126.2659791
첨단5근린공원,개방화장실,,제주특별자치도 제주시 아라1동 3009,상시,24시간,Y,0647283605,33.4455944,126.5687396
곽지해수욕장(종합상황실),공중화장실,제주특별자치도 제주시 애월읍 곽지1길 31,,상시,,Y,0647288883,33.4485059,126.3030938
어리목 주차장 화장실,개방화장실,제주특별자치도 제주시 1100로 2070-61,,상시,24시간,N,0647107826,33.3926868,126.4948405
해녀박물관(야외광장),공중화장실,제주특별자치도 제주시 해녀박물관길 26,,정시,09:00~18:00,Y,06471077755,33.5236099,126.8634256
제주항 국제여객터미널(크루즈 입국장),개방화장실,제주특별자치도 제주시 임항로 191,,정시,04:30~21:00,Y,0647108693,33.5258374,126.5440785
서동항포구,공중화장실,,제주특별자치도 제주시 구좌읍 평대리 2025-6지선,상시,,Y,0647287745,33.5364802,126.8407856
창흥동해수욕장,공중화장실,제주특별자치도 제주시 해맞이해안로 1973,제주특별자치도 제주시 구좌읍 하도리 46-3,상시,,Y,0647287745,33.5135069,126.8987770
건강증진과(화북건강생활지원센터),개방화장실,제주특별자치도 제주시 동화로1길 45-22,,정시,09:00~18:00,N,,33.5183638,126.5783832
한림체육관,개방화장실,제주특별자치도 제주시 한림중앙로 71-9,,정시,09:00~18:00,N,,33.4096918,126.2685441
애월읍 (하귀)주민자치센터,개방화장실,제주특별자치도 제주시 하귀로21길 30,,정시,09:00~18:00,N,,33.4796335,126.4033249
한경면 종합복지회관(이동민원실),개방화장실,제주특별자치도 제주시 칠전로 37,,정시,09:00~18:00,Y,,33.3004758,126.1837079
서문공설시장(서쪽입구-제중 건너편),공중화장실,제주특별자치도 제주시 서문로4길 13-2,,상시,24시간,Y,0647282827,33.5113512,126.5179062
제주시청2별관,개방화장실,제주특별자치도 제주시 광양9길 10,,정시,09:00~18:00,N,0647282424,33.5002142,126.5322175
수운공원(학생문화원 옆),개방화장실,제주특별자치도 제주시 청귤로5길 6-9,,상시,24시간,Y,0647283605,33.4997529,126.5396874
제41호 어린이공원(제주은행 동쪽),개방화장실,,제주특별자치도 제주시 일도2동 65,상시,24시간,Y,0647283605,33.5022600,126.5447484
동문수산시장(상인회사무실-주차장),공중화장실,제주특별자치도 제주시 관덕로14길 20,,상시,24시간,Y,0647282827,33.5115903,126.5260182
월정어촌정주어항,공중화장실,,제주특별자치도 제주시 구좌읍 월정리 554-6지선,상시,,Y,0647287783,33.5562660,126.7949655
어리목 여성전용 화장실,개방화장실,제주특별자치도 제주시 1100로 2070-61,,상시,24시간,N,0647107826,33.3926868,126.4948405
"해녀박물관(신관2층, 어린이용)",개방화장실,제주특별자치도 제주시 해녀박물관길 26,,정시,09:00~18:01,Y,06471077759,33.5236099,126.8634256
함덕어촌정주어항,공중화장실,,제주특별자치도 제주시 조천읍 함덕리 3113-5지선,상시,,Y,0647287862,33.5456413,126.6616813
연동주민센터옆,개방화장실,제주특별자치도 제주시 신대로 101,,상시,,Y,0647288235,33.4883782,126.4969230
도항선 대합실,공중화장실,제주특별자치도 제주시 우도해안길 70,제주특별자치도 제주시 우도면 연평리 1737-13,상시,,Y,0647284342,33.4928045,126.9515414
제주중앙지하도상가 2차(동문로),개방화장실,"제주특별자치도 제주시 관덕로 지하 58, 2번 출입구",,상시,24시간,Y,0647283702,,
족은노꼬메오름주차장,공중화장실,,제주특별자치도 제주시 애월읍 유수암리 산28,상시,,N,0647288866,33.3970825,126.4251225
사려니숲길주차장,공중화장실,,제주특별자치도 제주시 봉개동 2750-2,상시,24시간,Y,0647283605,33.4341069,126.6374847
외도동 제1 공영주차장,개방화장실,,제주특별자치도 제주시 외도1동 559-1,정시,09:00~18:00,Y,0647283823,33.4867387,126.4317549
쪽제비동산,공중화장실,,제주특별자치도 제주시 우도면 연평리 299,상시,,Y,0647284342,33.5015672,126.9687891
안비양,공중화장실,,제주특별자치도 제주시 우도면 연평리 5-1,상시,,Y,0647284342,33.5146952,126.9687822
해안포구,공중화장실,제주특별자치도 제주시 금산5길 38,,상시,,Y,0647288153,33.5258188,126.5638987
북촌 해동,공중화장실,,제주특별자치도 제주시 조천읍 북촌리 1445,상시,,Y,0647287862,33.5486404,126.6855772
서우봉해변야영장,공중화장실,제주특별자치도 제주시 조천읍 조함해안로 585,,상시,,Y,0647287882,33.5442826,126.6740543
애월읍 레포츠공원 공중화장실,개방화장실,제주특별자치도 제주시 애월해안로 346,,정시,09:00 - 18:00,Y,0647283563,33.4711396,126.3445853
이도1동,개방화장실,제주특별자치도 제주시 중앙로25길 17,,정시,09:00~18:00,Y,,33.5068654,126.5267223
월평 버스회차지,공중화장실,제주특별자치도 제주시 아봉로 450,,상시,,Y,0647288202,33.4702024,126.5829930
이호동 소규모 체육공원 공중화장실,개방화장실,제주특별자치도 제주시 덕지4길 29,,정시,09:00 - 18:00,Y,0647283563,,
자구네포구,공중화장실,제주특별자치도 제주시 한경면 노을해안로 1161,,상시,,Y,0647287954,33.3093275,126.1651581
양지공원 관리동 1층 화장실,개방화장실,제주특별자치도 제주시 516로 2810-31,,정시,07:00~18:00,Y,0647106623,33.4404996,126.5789027
제주특별자치도청 제2청사 화장실,개방화장실,제주특별자치도 제주시 문연로 30,,정시,09:00~18:00,N,0647106937,33.4893692,126.5005523
방선문,공중화장실,,제주특별자치도 제주시 오라이동 3819-11,상시,,Y,0647284816,33.4561655,126.5170781
우당도서관,개방화장실,제주특별자치도 제주시 사라봉동길 30,,정시,09:00~18:00,Y,,33.5148698,126.5478680
월산체육공원,공중화장실,제주특별자치도 제주시 월산남2길 44-2,,상시,,Y,0647284867,33.4687771,126.4621594
신사수항,공중화장실,제주특별자치도 제주시 서해안로 301-8,,상시,,Y,0647284962,33.5096566,126.4778072
용수절부암,공중화장실,,제주특별자치도 제주시 한경면 용수리 4274-2,상시,,Y,0647287954,33.3228636,126.1669325
교래리 삼다수숲길,공중화장실,제주특별자치도 제주시 조천읍 남조로 1793,,상시,,Y,0647287862,33.4280528,126.6741426
동문재래 공영주차장,개방화장실,제주특별자치도 제주시 중앙로13길 16-8,,정시,09:00~22:00,Y,0647283828,33.5108176,126.5260869
교래자연휴양림,개방화장실,제주특별자치도 제주시 남조로 2023,,상시,00:00~24:00,Y,0647107476,33.4513306,126.6566618
"동문공설시장 청년몰(안쪽, 큰곳)",공중화장실,제주특별자치도 제주시 동문로4길 9,,상시,24시간,Y,0647282827,33.5120874,126.5282423
모충사,공중화장실,제주특별자치도 제주시 사라봉길 75,,상시,24시간,Y,0647282514,33.5161896,126.5470056
민속오일시장E(8번주차장옆),공중화장실,제주특별자치도 제주시 오일장서길 51,,정시,06:00~22:00,Y,0647282827,,
이호운동장,개방화장실,제주특별자치도 제주시 오광로6길58-11,,정시,08:00~18:00,Y,0647283279,33.4863833,126.4569079
종합경기장 실내수영장 외부,개방화장실,제주특별자치도 제주시 서광로2길 24,,상시,,Y,0647283279,33.4950629,126.5187972
제주시생활체육공원,개방화장실,제주특별자치도 제주시 와흘전1길32,,정시,08:00~18:00,Y,0647283279,33.4723756,126.6365086
하고수동 탈의장,공중화장실,제주특별자치도 제주시 우도해안길 807,제주특별자치도 제주시 우도면 연평리 1185-5,상시,,Y,0647284342,33.5138583,126.9573473
다려도,공중화장실,,제주특별자치도 제주시 조천읍 북촌리 산88,상시,,N,0647287862,33.5561776,126.6944149
제주하수처리장 관리동,개방화장실,제주특별자치도 제주시 도리로 254,,정시,00:00~23:00,N,0647507890,33.5084357,126.4767874
서부농업기술센터(농기계임대사업소),개방화장실,제주특별자치도 한림읍 월림7길 90,,정시,정시(09:00~18:00),Y,0647107911,33.3534662,126.2476976
한림읍,개방화장실,제주특별자치도 제주시 한림상로 132,,정시,09:00~18:00,N,,33.4102845,126.2669870
남또르쉼터,공중화장실,제주특별자치도 제주시 애월읍 애월해안로 466-1,,상시,,Y,0647288866,33.4770509,126.3543658
가문동포구,공중화장실,제주특별자치도 제주시 애월읍 가문동길 50,,상시,,Y,0647288866,33.4868185,126.3923183
돌박물관 야외화장실,공중화장실,제주특별자치도 제주시 남조로 2023,,정시,"09:00~18:00+휴원일 미개방(매주 월요일, 1월1일, 설날 및 추석 당일)",Y,0647107732,33.4513306,126.6566618
조천체육관,개방화장실,제주특별자치도 제주시 조천18길 11-1,,정시,09:00~18:00,N,,33.5395361,126.6437192
궤물오름주차장,공중화장실,,제주특별자치도 제주시 애월읍 유수암리 1191-2,상시,,Y,0647288866,33.4024686,126.4082125
천진항,공중화장실,제주특별자치도 제주시 우도해안길 94-4,제주특별자치도 제주시 우도면 연평리 1789-1번지선,상시,,Y,0647284342,33.4946170,126.9501218
하가연화못주차장,공중화장실,,제주특별자치도 제주시 애월읍 하가리 1569-5,상시,,Y,0647288866,33.4555200,126.3483195
동복마을운동장,공중화장실,,제주특별자치도 제주시  구좌읍 동복리 산56-14,상시,,N,0647287745,33.5420054,126.7133276
성판악 주차장 화장실,개방화장실,제주특별자치도 제주시 조천읍 516로 1865,,상시,24시간,N,0647107826,33.3844995,126.6194071
제주도립미술관 야외화장실2,개방화장실,제주특별자치도 제주시 1100로 2894-78,,상시,00:00~24:00,Y,0647104301,33.4525500,126.4896861
봉개동,개방화장실,제주특별자치도 제주시 봉개북1길 15,,정시,09:00~18:00,N,,33.4916660,126.5947311
노루생태관찰원 2,개방화장실,제주특별자치도 제주시 명림로 520,,정시,09:00~18:00,Y,0647283613,33.4443239,126.6266893
느지리오름,공중화장실,제주특별자치도 제주시 한림읍 봉수대길 5,,상시,24시간,Y,0647287652,33.3628838,126.2607871
외도운동장,개방화장실,제주특별자치도 제주시 통물길55,,정시,08:00~22:00,Y,0647283279,33.4877349,126.4362617
비양도대합실,공중화장실,제주특별자치도 제주시 한림읍 한림해안로 196,,상시,24시간,Y,0647287652,33.4193067,126.2625190
"돌문화공원 야외화장실(매표소, 3번주차장)",공중화장실,제주특별자치도 제주시 남조로 2023,,정시,"09:00~18:00+휴원일 미개방(매주 월요일, 1월1일, 설날 및 추석 당일)",Y,0647107732,33.4513306,126.6566618
서부농업기술센터(미생물배양실),개방화장실,제주특별자치도 한림읍 월림7길 90,,정시,정시(09:00~18:00),Y,0647107911,33.3534662,126.2476976
귀덕올레15코스 화장실,공중화장실,,제주특별자치도 제주시 한림읍 귀덕리 2597-1,상시,,Y,0647287652,33.4323137,126.2869701
민오름(남조봉)공원,개방화장실,,제주특별자치도 제주시 오라2동 산 21,상시,,Y,0647283605,,
비양동 탈의장,공중화장실,,제주특별자치도 제주시 우도면 연평리 682-6,상시,,Y,0647284342,33.5122489,126.9596805
관광진흥과(별빛누리공원),개방화장실,제주특별자치도 제주시 선돌목동길 60,,정시,09:00~18:00,Y,0647288900,33.4445761,126.5491861
서부하수처리장 관리동,개방화장실,제주특별자치도 제주시 한경면 일주서로 4641,,정시,09:00~18:00,N,0647507899,,
제주대학교버스회차지,공중화장실,제주특별자치도 제주시 제주대학로 102,,상시,,Y,0647288202,33.4572918,126.5643222
누웨마루거리,공중화장실,제주특별자치도 제주시 신대로12길 54,,상시,,Y,0647288235,33.4889349,126.4908904
항개해녀탈의장(김녕서포구),공중화장실,,제주특별자치도 제주시 구좌읍 김녕리 4070-1,상시,,Y,0647287745,33.5577796,126.7446917
종달리삼거리,공중화장실,,제주특별자치도 제주시 구좌읍 종달리 3089,상시,,N,0647287745,33.4880565,126.8820710
한라도서관,개방화장실,제주특별자치도 오남로 221,,정시,09:00~18:00,Y,0647108634,33.4762076,126.5161965
우도봉,공중화장실,,제주특별자치도 제주시 우도면 연평리 산 27-3,상시,,Y,0647284342,33.4930214,126.9601182
제일주차빌딩,개방화장실,제주특별자치도 제주시 관덕로15길 3,제주특별자치도 제주시 일도1동 1476-33,정시,08:00~22:00,Y,0647283825,33.5134838,126.5265959
양지공원 제3추모의집 화장실,개방화장실,제주특별자치도 제주시 516로 2810-31,,상시,24시간,Y,0647106623,33.4404996,126.5789027
세화항포구,공중화장실,제주특별자치도 제주시 해맞이해안로 1391,제주특별자치도 제주시 구좌읍 세화리 1500-66,상시,,Y,0647287745,33.5275426,126.8566399
한담공원,공중화장실,,제주특별자치도 제주시 애월읍 애월리 2461,상시,,Y,0647288866,33.4599175,126.3109937
사라봉공원(동쪽)-베드민턴장 옆,개방화장실,제주특별자치도 제주시 사라봉동길 74,,상시,24시간,Y,0647283605,33.5186634,126.5476898
삼양동버스회차지,공중화장실,,제주특별자치도 제주시 삼양1동 1579-1,상시,,Y,0647288178,33.5295065,126.5935033
산짓물공원 공중화장실,공중화장실,,제주특별자치도 제주시 건입동 1328-4,상시,,Y,0647284666,33.5159054,126.5289347
용당포구,공중화장실,,제주특별자치도 제주시 한경면 용수리 3891-3,상시,,Y,0647287954,33.3366307,126.1652562
소금밭(신흥리해수욕장),공중화장실,제주특별자치도 제주시 조함해안로 273-31,제주특별자치도 제주시 조천읍 신흥리 731-9,상시,,Y,0647287882,33.5515346,126.6484816
제주시청상하수도과,개방화장실,제주특별자치도 제주시 광양9길 26,,정시,09:00~18:00,N,0647282424,33.5004343,126.5323747
제주시청 본관(총무과),개방화장실,제주특별자치도 제주시 광양9길 10,,정시,09:00~18:00,N,0647282424,33.5002142,126.5322175
양지공원 제1추모의집 화장실,개방화장실,제주특별자치도 제주시 516로 2810-31,,상시,24시간,Y,0647106623,33.4404996,126.5789027
동문공설시장(종합안내센터 옆-시장쪽),공중화장실,제주특별자치도 제주시 동문로4길 9,,상시,24시간,Y,0647282827,33.5120874,126.5282423
구좌공설묘지,공중화장실,,제주특별자치도 제주시 구좌읍 송당리 54-1,상시,,N,0647287745,33.4551433,126.7978842
용수충혼묘지,공중화장실,,제주특별자치도 제주시 한경면 용수리 3043,상시,,N,0647287954,33.3218357,126.1780676
외도2운동장,개방화장실,제주특별자치도 제주시 통물길75,,정시,08:00~18:00,Y,0647283279,33.4866347,126.4375090
법원북측주차장,개방화장실,,제주특별자치도 제주시 이도2동 1066,정시,09:00~18:30,Y,0647283824,33.4883327,126.5223428
해녀작업장,공중화장실,,제주특별자치도 제주시  구좌읍 김녕리 1270-6,상시,,Y,0647287745,33.5584080,126.7543625
서문동해녀탈의장,공중화장실,제주특별자치도 제주시 하도서문길 23,제주특별자치도 제주시 구좌읍 하도리 1900-4,상시,,N,0647287745,33.5288667,126.8804767
아라동,개방화장실,제주특별자치도 제주시 인다8길 5,,정시,09:00~18:00,Y,,33.4763383,126.5452696
제주항 국제여객터미널(1층 ㈜현성MCT),개방화장실,제주특별자치도 제주시 임항로 191,,정시,04:30~21:00,Y,0647108693,33.5258374,126.5440785
공항입구주차장,개방화장실,제주특별자치도 제주시 다호북길 7 (용담이동),제주특별자치도 제주시 용담이동 1611,상시,,N,,33.5036750,126.4957131
연동공원,개방화장실,제주특별자치도 제주시 신광로12길 17,,상시,24시간,Y,0647283605,33.4824037,126.4879989
노형 제3공영주차장,개방화장실,,제주특별자치도 제주시 노형동 1043-1,정시,09:00~18:00,Y,0647283242,33.4895973,126.4764960
민속오일시장D(농협 좌측),공중화장실,제주특별자치도 제주시 오일장서길 51,,상시,24시간,Y,0647282827,,
국제대학버스회차지,공중화장실,,제주특별자치도 제주시 영평동 2237-6,상시,,Y,0647288202,33.4390113,126.5691599
용담공원(용두암주차장),개방화장실,제주특별자치도 제주시 용두암길 15,,상시,24시간,Y,0647283605,33.5148036,126.5117980
탑동 제1공원(E-마트옆),개방화장실,제주특별자치도 제주시 탑동해안로 46,,상시,24시간,Y,0647283605,33.5187946,126.5202035
고내봉산책로,공중화장실,제주특별자치도 제주시 애월읍 고하상로 78-5,,상시,,Y,0647288866,33.4578811,126.3447588
큰노꼬메오름주차장,공중화장실,,제주특별자치도 제주시 애월읍 소길리 산255-4,상시,,Y,0647288866,33.3914079,126.3978767
이호동주민센터,개방화장실,"제주특별자치도 제주시 도리로 57, 이호동주민센터 (이호일동)",제주특별자치도 제주시 이호일동 451-1 이호동주민센터,정시,09:00~18:00,N,,33.4989532,126.4578718
서부농업기술센터 청사,개방화장실,제주특별자치도 한림읍 월림7길 90,,정시,정시(09:00~18:00),N,0647107911,33.3534662,126.2476976
메지박,공중화장실,,제주특별자치도 제주시 추자면 대서리 365,상시,,N,0647284283,,
탑동 제2공원(공연장앞),개방화장실,제주특별자치도 제주시 중앙로 2,,상시,24시간,Y,0647283605,33.5181476,126.5239547
용연공원(도로변),개방화장실,,제주특별자치도 제주시 용담1동 351,상시,24시간,Y,0647283605,33.5128781,126.5150074
면수동마을회관 옆 주차장,공중화장실,,제주특별자치도 제주시 구좌읍 하도리 3359-83,상시,,Y,0647287745,33.5226173,126.8667361
민속오일시장A(대장간옆),공중화장실,제주특별자치도 제주시 오일장서길 26,,정시,06:00~22:00,Y,0647282827,33.4972470,126.4748884
편백나무숲,간이화장실,,제주특별자치도 제주시 아라일동 산 31-1,상시,,Y,0647288202,33.4436592,126.5564182
참사랑문화의집(2~3층),개방화장실,"제주특별자치도 제주시 서광로29길 17, 제주시참사랑문화의집 (이도일동)",제주특별자치도 제주시 이도일동 1664-7 제주시참사랑문화의집,정시,(평일)09:00~20:00+(주말)09:00~18:00),N,,33.5017931,126.5262163
원노형푸른제1공영주차장,공중화장실,제주특별자치도 제주시 원노형남2길 34 (노형동),제주특별자치도 제주시 노형동 710-4,상시,,N,,33.4823375,126.4845128
황경한의묘,공중화장실,,제주특별자치도 제주시 추자면 신양리 산 20-6,상시,,N,,,
아라동 파크골프장,개방화장실,제주특별자치도 제주시 거북새미길 202-21 (오등동),제주특별자치도 제주시 오등동 1834-95,상시,,N,,33.4473540,126.5248620
제주중앙지하도상가 1차(중앙로),개방화장실,"제주특별자치도 제주시  중앙로 지하 60, 5번·7번 출입구",,상시,24시간,Y,0647283702,,
망동산,공중화장실,,제주특별자치도 제주시  화북1동 1957,상시,,Y,0647288153,33.5214939,126.5647651
동광 제2 공영주차장,개방화장실,제주특별자치도 제주시 태성로 40 (일도이동),제주특별자치도 제주시 일도이동 112,정시,평일 9시 ~ 18시,N,,33.4995969,126.5494390
월정해수욕장 공중화장실,공중화장실,,제주특별자치도 제주시 구좌읍 월정리 33-3 지선,상시,,N,,33.5551125,126.7986407
신양2리 올레길,공중화장실,,제주특별자치도 제주시 추자면 신양리 817-1,상시,,N,,,
용마마을화장실,공중화장실,제주특별자치도 제주시 용마로 13-1 (용담삼동),제주특별자치도 제주시 용담삼동 531-32,상시,,N,,33.5144669,126.5057823
광양공영주차장,공중화장실,제주특별자치도 제주시 동광로1길 18 (이도일동),제주특별자치도 제주시 이도일동 1257-4,상시,,N,,33.5022768,126.5289971
세화오일시장(구좌오일시장),공중화장실,제주특별자치도 제주시 구좌읍 해맞이해안로 1412,,상시,,Y,0647287753,33.5261861,126.8572970
동동포구,공중화장실,,제주특별자치도 제주시 조천읍신촌리 533-3,상시,,Y,0647287862,33.5378257,126.6248767
신동해녀탈의장,공중화장실,,제주특별자치도 제주시 구좌읍 하도리 468-4,상시,,Y,0647287745,33.5277685,126.8914814
해녀박물관(본관1층),개방화장실,제주특별자치도 제주시 해녀박물관길 26,,정시,09:00~18:00,Y,06471077756,33.5236099,126.8634256
세화리해수욕장,공중화장실,제주특별자치도 제주시 해맞이해안로 1465,제주특별자치도 제주시 구좌읍 세화리 1381-2,상시,,Y,0647287745,33.5248302,126.8620256
"동문공설시장 신주차장(증축부, 캐리어보관실 맞은편)",공중화장실,"제주특별자치도 제주시 동문로4길 9, 동문공설시장, 동문공영주차장 (일도일동)","제주특별자치도 제주시 일도일동 1103 동문공설시장, 동문공영주차장",상시,,N,,33.5120874,126.5282423
수산봉(물메오름),간이화장실,제주특별자치도 제주시 애월읍 수산곰솔길 56,제주특별자치도 제주시 애월읍 수산리 산 1-1,상시,,N,,33.4734719,126.3859037
