주차장관리번호,주차장명,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,요금정보,위도,경도
405-2-000032,한림리 551-8,노외,,제주특별자치도 제주시 한림읍 한림리 551-8,6,무료,33.4149975,126.2706427
405-2-000033,한림리 905-12,노외,,제주특별자치도 제주시 한림읍 한림리 905-12,7,무료,33.4117521,126.268233
405-2-000034,한림리 905-35,노외,,제주특별자치도 제주시 한림읍 한림리 905-35,17,무료,33.4112873,126.2687027
405-2-000035,한림리 905-5,노외,,제주특별자치도 제주시 한림읍 한림리 905-5,10,무료,33.4109991,126.2674246
405-2-000037,"한림리 1022-2, 1023-3",노외,,제주특별자치도 제주시 한림읍 한림리 1022-2,33,무료,33.4148061,126.2678807
405-2-000038,"협재리 1467-1, 1468-1",노외,,제주특별자치도 제주시 한림읍 협재리 1467-1,25,무료,33.3979662,126.2448461
405-2-000039,"협재리 1603, 1604, 1909, 1910-1",노외,,제주특별자치도 제주시 한림읍 협재리 1603,37,무료,33.3967466,126.245008
405-2-000040,협재리 1666-1,노외,,제주특별자치도 제주시 한림읍 협재리 1666-1,7,무료,33.3977362,126.2433941
405-2-000041,협재리 1689-2,노외,,제주특별자치도 제주시 한림읍 협재리 1689-2,8,무료,33.3976125,126.2430604
405-2-000042,협재리 2514,노외,,제주특별자치도 제주시 한림읍 협재리 2514,44,무료,33.3930848,126.240701
405-2-000043,협재리 2514-20,노외,,제주특별자치도 제주시 한림읍 협재리 2514-20,10,무료,33.3929265,126.2408952
405-2-000044,협재리 2516,노외,,제주특별자치도 제주시 한림읍 협재리 2516,15,무료,33.3928519,126.2407674
405-2-000045,협재리 2517-1,노외,,제주특별자치도 제주시 한림읍 협재리 2517-1,5,무료,33.3928056,126.2413213
405-2-000046,협재리 2872,노외,,제주특별자치도 제주시 한림읍 협재리 2872,17,무료,33.3819839,126.2546073
405-1-000048,"한림서길 31, 한림남1길 21",노상,제주특별자치도 제주시 한림읍 한림서길 31,,36,무료,33.4093677,126.259868
405-1-000049,한림남1길 21,노상,제주특별자치도 제주시 한림읍 한림남1길 21,,2,무료,33.4125773,126.2671021
405-2-000051,수원리 27-6,노외,,제주특별자치도 제주시 한림읍 수원리 27-6,9,무료,33.4272586,126.2702784
405-2-000053,수원리 497-1,노외,,제주특별자치도 제주시 한림읍 수원리 497-1,7,무료,33.4281217,126.2674146
405-2-000054,수원리 768-1,노외,,제주특별자치도 제주시 한림읍 수원리 768-1,12,무료,33.4240135,126.2657665
405-2-000055,한림리 1001-1,노외,,제주특별자치도 제주시 한림읍 한림리 1001-1,53,무료,33.4135733,126.2693786
405-2-000056,"수원리 643-2, 643-5",노외,,제주특별자치도 제주시 한림읍 수원리 643-2,24,무료,33.4283806,126.2664804
405-2-000057,옹포리 127-5,노외,,제주특별자치도 제주시 한림읍 옹포리 127-5,6,무료,33.4030763,126.2543369
405-2-000059,고내리 461-1,노외,,제주특별자치도 제주시 애월읍 고내리 461-1,15,무료,33.4699467,126.3406765
405-2-000060,고내리 834-4,노외,,제주특별자치도 제주시 애월읍 고내리 834-4,11,무료,33.4630288,126.3342032
405-2-000061,곽지리 1587-1 외,노외,,제주특별자치도 제주시 애월읍 곽지리 1587-1,70,무료,,
405-2-000062,구엄리 1130-1,노외,,제주특별자치도 제주시 애월읍 구엄리 1130-1,6,무료,33.4785042,126.375862
405-2-000063,구엄리 1136,노외,,제주특별자치도 제주시 애월읍 구엄리 1136,22,무료,33.4808099,126.3763869
405-2-000064,금성리 286-1,노외,,제주특별자치도 제주시 애월읍 금성리 286-1,13,무료,33.4396564,126.302349
405-2-000065,금성리 554-2,노외,,제주특별자치도 제주시 애월읍 금성리 554-2,22,무료,33.4457791,126.3006291
405-2-000066,금성리 599-4,노외,,제주특별자치도 제주시 애월읍 금성리 599-4,12,무료,33.4447275,126.3004094
405-2-000067,"납읍리 1576-19,20,1",노외,,제주특별자치도 제주시 애월읍 납읍리 1576-19,9,무료,33.4385647,126.3302547
405-2-000068,"상귀리 1008-1, 1006",노외,,제주특별자치도 제주시 애월읍 상귀리 1008-1,50,무료,33.4525845,126.4090772
405-2-000069,신엄리 1020,노외,,제주특별자치도 제주시 애월읍 신엄리 1020,11,무료,33.4743528,126.3661872
405-2-000070,신엄리 1282,노외,,제주특별자치도 제주시 애월읍 신엄리 1282,30,무료,33.4722547,126.3671146
405-2-000071,신엄리 1284-1,노외,,제주특별자치도 제주시 애월읍 신엄리 1284-1,15,무료,33.4719845,126.3667224
405-2-000072,신엄리 1386-3,노외,,제주특별자치도 제주시 애월읍 신엄리 1386-3,9,무료,33.4690151,126.3681771
405-2-000073,"신엄리 1729-1, 1728-1",노외,,제주특별자치도 제주시 애월읍 신엄리 1729-1,12,무료,33.4619805,126.3685381
405-2-000074,신엄리 1796-1,노외,,제주특별자치도 제주시 애월읍 신엄리 1796-1,15,무료,33.4559341,126.3697953
405-2-000075,신엄리 2564,노외,,제주특별자치도 제주시 애월읍 신엄리 2564,7,무료,33.4735011,126.3650491
405-2-000076,신엄리 2665-1,노외,,제주특별자치도 제주시 애월읍 신엄리 2665-1,5,무료,33.4746289,126.3652405
405-2-000077,애월리 1506,노외,,제주특별자치도 제주시 애월읍 애월리 1506,6,무료,33.4630106,126.3179023
405-2-000078,애월리 1544-2,노외,,제주특별자치도 제주시 애월읍 애월리 1544-2,9,무료,33.4644134,126.3188373
405-2-000079,애월리 1680-1,노외,,제주특별자치도 제주시 애월읍 애월리 1680-1,11,무료,33.4654863,126.3195161
405-2-000080,애월리 1710-1,노외,,제주특별자치도 제주시 애월읍 애월리 1710-1,9,무료,33.4652119,126.3200348
405-2-000081,애월리 2060-2,노외,,제주특별자치도 제주시 애월읍 애월리 2060-2,13,무료,33.4651361,126.3165218
405-2-000082,애월리 2109-1,노외,,제주특별자치도 제주시 애월읍 애월리 2109-1,20,무료,33.4641539,126.3171491
405-2-000083,애월리 354-1애월리 353-3,노외,,제주특별자치도 제주시 애월읍 애월리 354-1,17,무료,33.4632302,126.329198
405-2-000084,유수암리 1843-3,노외,,제주특별자치도 제주시 애월읍 유수암리 1843-3,8,무료,33.439902,126.4029597
405-2-000085,유수암리648,노외,,제주특별자치도 제주시 애월읍 유수암리648,20,무료,33.4413659,126.4063509
405-2-000086,장전리 453-2,노외,,제주특별자치도 제주시 애월읍 장전리 453-2,15,무료,33.450796,126.3884854
405-2-000087,하귀1리 118-1,노외,,제주특별자치도 제주시 애월읍 하귀1리 118-1,11,무료,33.4859219,126.4144106
405-2-000088,하귀1리 118-2,노외,,제주특별자치도 제주시 애월읍 하귀1리 118-2,35,무료,33.4859874,126.4146221
405-2-000089,하귀1리 123-10,노외,,제주특별자치도 제주시 애월읍 하귀1리 123-10,16,무료,33.4862947,126.4159109
405-2-000090,하귀1리 130-7,노외,,제주특별자치도 제주시 애월읍 하귀1리 130-7,15,무료,33.484828,126.415065
405-2-000091,하귀1리 130-9,노외,,제주특별자치도 제주시 애월읍 하귀1리 130-9,14,무료,33.4845392,126.4152431
405-2-000092,하귀1리 137-7,노외,,제주특별자치도 제주시 애월읍 하귀1리 137-7,24,무료,33.4848204,126.4156624
405-2-000093,하귀1리 138-6,노외,,제주특별자치도 제주시 애월읍 하귀1리 138-6,16,무료,33.4851364,126.4161977
405-2-000094,하귀1리 138-7,노외,,제주특별자치도 제주시 애월읍 하귀1리 138-7,18,무료,33.4850266,126.4162927
405-2-000095,하귀1리 139-3,노외,,제주특별자치도 제주시 애월읍 하귀1리 139-3,18,무료,33.4859569,126.4164264
405-2-000096,하귀1리 144-1,노외,,제주특별자치도 제주시 애월읍 하귀1리 144-1,10,무료,33.4863557,126.4171939
405-2-000097,하귀1리 146-1,노외,,제주특별자치도 제주시 애월읍 하귀1리 146-1,11,무료,33.486873,126.418425
405-2-000098,하귀1리 146-11,노외,,제주특별자치도 제주시 애월읍 하귀1리 146-11,13,무료,33.4866499,126.4192842
405-2-000099,하귀1리 146-4,노외,,제주특별자치도 제주시 애월읍 하귀1리 146-4,14,무료,,
405-2-000100,하귀1리 146-5,노외,,제주특별자치도 제주시 애월읍 하귀1리 146-5,14,무료,33.486827,126.4192898
405-2-000101,"하귀1리 148-3, 148-4",노외,,제주특별자치도 제주시 애월읍 하귀1리 148-3,30,무료,33.4862319,126.4190428
405-2-000102,하귀1리 149-3,노외,,제주특별자치도 제주시 애월읍 하귀1리 149-3,6,무료,33.4860231,126.419304
405-2-000103,하귀1리 149-5,노외,,제주특별자치도 제주시 애월읍 하귀1리 149-5,6,무료,33.4862267,126.4197478
405-2-000104,하귀1리 150-12,노외,,제주특별자치도 제주시 애월읍 하귀1리 150-12,16,무료,33.4852917,126.418149
405-2-000105,하귀1리 150-3,노외,,제주특별자치도 제주시 애월읍 하귀1리 150-3,20,무료,33.4854668,126.4180837
405-2-000106,하귀1리 153-1,노외,,제주특별자치도 제주시 애월읍 하귀1리 153-1,14,무료,33.4851436,126.4172725
405-2-000107,하귀1리 153-3,노외,,제주특별자치도 제주시 애월읍 하귀1리 153-3,15,무료,33.4850422,126.4175648
405-2-000108,하귀1리 153-4,노외,,제주특별자치도 제주시 애월읍 하귀1리 153-4,13,무료,33.4848738,126.4176693
405-2-000109,하귀1리 153-9,노외,,제주특별자치도 제주시 애월읍 하귀1리 153-9,20,무료,33.4849801,126.4173619
405-2-000110,하귀1리 154-3,노외,,제주특별자치도 제주시 애월읍 하귀1리 154-3,16,무료,33.4849951,126.4170527
405-2-000111,하귀1리 155-10,노외,,제주특별자치도 제주시 애월읍 하귀1리 155-10,9,무료,33.4845218,126.4169051
405-2-000112,하귀1리 155-4,노외,,제주특별자치도 제주시 애월읍 하귀1리 155-4,12,무료,33.4843403,126.4177578
405-2-000113,하귀1리 156-5,노외,,제주특별자치도 제주시 애월읍 하귀1리 156-5,9,무료,33.4843676,126.4166765
405-2-000114,하귀1리 158-2,노외,,제주특별자치도 제주시 애월읍 하귀1리 158-2,15,무료,33.4841725,126.415498
405-2-000115,하귀1리 160-4,노외,,제주특별자치도 제주시 애월읍 하귀1리 160-4,6,무료,33.4831628,126.415111
405-2-000116,하귀1리 162-1,노외,,제주특별자치도 제주시 애월읍 하귀1리 162-1,7,무료,33.482552,126.4147461
405-2-000118,하귀1리 176-3,노외,,제주특별자치도 제주시 애월읍 하귀1리 176-3,16,무료,33.4857652,126.4139086
405-2-000119,하귀1리 189-1,노외,,제주특별자치도 제주시 애월읍 하귀1리 189-1,23,무료,33.4853623,126.4127355
405-2-000120,하귀1리 192-8,노외,,제주특별자치도 제주시 애월읍 하귀1리 192-8,16,무료,33.4836423,126.4123279
405-2-000121,하귀1리 195-17,노외,,제주특별자치도 제주시 애월읍 하귀1리 195-17,16,무료,,
405-2-000122,하귀1리 195-2,노외,,제주특별자치도 제주시 애월읍 하귀1리 195-2,15,무료,33.4850569,126.4131787
405-2-000123,하귀1리 196-10,노외,,제주특별자치도 제주시 애월읍 하귀1리 196-10,12,무료,33.4844051,126.4121613
405-2-000124,하귀1리 196-9,노외,,제주특별자치도 제주시 애월읍 하귀1리 196-9,14,무료,33.4844805,126.4123309
405-2-000125,하귀1리 197-7,노외,,제주특별자치도 제주시 애월읍 하귀1리 197-7,12,무료,33.4836448,126.4126547
405-2-000126,하귀1리 200-3,노외,,제주특별자치도 제주시 애월읍 하귀1리 200-3,9,무료,33.4836259,126.4141923
405-2-000127,하귀1리 214-17,노외,,제주특별자치도 제주시 애월읍 하귀1리 214-17,12,무료,33.4819253,126.4125155
405-2-000128,하귀1리 214-24,노외,,제주특별자치도 제주시 애월읍 하귀1리 214-24,17,무료,33.4816583,126.4128025
405-2-000129,하귀1리 218-3,노외,,제주특별자치도 제주시 애월읍 하귀1리 218-3,16,무료,33.4804523,126.4138427
405-2-000130,"하귀1리 220-2,3",노외,,제주특별자치도 제주시 애월읍 하귀1리 220-2,27,무료,33.4812997,126.4135375
405-2-000131,하귀1리 235-4,노외,,제주특별자치도 제주시 애월읍 하귀1리 235-4,11,무료,33.4819444,126.4133156
405-2-000132,하귀1리 238-4,노외,,제주특별자치도 제주시 애월읍 하귀1리 238-4,18,무료,33.4812148,126.4138325
405-2-000133,하귀1리 549-16,노외,,제주특별자치도 제주시 애월읍 하귀1리 549-16,25,무료,33.4847728,126.4108216
405-2-000134,하귀2리 1315-1,노외,,제주특별자치도 제주시 애월읍 하귀2리 1315-1,16,무료,33.4798514,126.4063365
405-2-000135,하귀2리 1752-1,노외,,제주특별자치도 제주시 애월읍 하귀2리 1752-1,25,무료,33.4807871,126.4013159
405-2-000136,하귀2리 1781-3,노외,,제주특별자치도 제주시 애월읍 하귀2리 1781-3,4,무료,33.4814725,126.4015562
405-2-000137,하귀2리 1782-1,노외,,제주특별자치도 제주시 애월읍 하귀2리 1782-1,4,무료,33.4814524,126.4014237
405-2-000138,하귀2리 1892-1,노외,,제주특별자치도 제주시 애월읍 하귀2리 1892-1,17,무료,33.4796335,126.4033249
405-2-000139,"하귀2리 2975-1, 2975-3",노외,,제주특별자치도 제주시 애월읍 하귀2리 2975-1,10,무료,33.4772565,126.3927879
405-2-000140,"하귀2리 1752-5, 6",노외,,제주특별자치도 제주시 애월읍 하귀2리 1752-5,24,무료,33.4804996,126.4009759
405-2-000141,곽지리 1953-3,노외,,제주특별자치도 제주시 애월읍 곽지리 1953-3,29,무료,33.4456353,126.3083005
405-2-000142,"소길리 774, 772-15, 772-14",노외,,제주특별자치도 제주시 애월읍 소길리 774,27,무료,33.4369297,126.3783457
405-2-000143,신엄리 3009-4,노외,,제주특별자치도 제주시 애월읍 신엄리 3009-4,45,무료,33.4700113,126.3593574
405-1-000144,"애월로 101, 109",노상,제주특별자치도 제주시 애월읍 애월로 101,,19,무료,33.4648338,126.3181547
405-1-000145,"애월해안로 232-1, 고내로7길 49",노상,제주특별자치도 제주시 애월읍 애월해안로 232-1,,12,무료,33.4671355,126.336781
405-1-000146,고내리 1156-4,노상,,제주특별자치도 제주시 애월읍 고내리 1156-4,15,무료,33.4671394,126.3371921
405-1-000147,"수산4길 40, 2",노상,제주특별자치도 제주시 애월읍 수산4길 40,,18,무료,33.4688957,126.3917251
405-1-000148,"하귀1리 1376, 하귀로17길 6",노상,,제주특별자치도 제주시 애월읍 하귀1리 1376,7,무료,,
405-1-000149,"하귀로17길 7, 9",노상,제주특별자치도 제주시 애월읍 하귀로17길 7,,5,무료,33.4819471,126.4069488
405-1-000150,"하귀로17길 11, 13",노상,제주특별자치도 제주시 애월읍 하귀로17길 11,,3,무료,33.4814599,126.4070497
405-1-000151,"하귀로13길 6, 8",노상,제주특별자치도 제주시 애월읍 하귀로13길 6,,5,무료,33.4835962,126.4092548
405-1-000152,"하귀로13길 6, 8",노상,제주특별자치도 제주시 애월읍 하귀로13길 6,,5,무료,33.4835962,126.4092548
405-1-000153,"하귀로13길 10, 12",노상,제주특별자치도 제주시 애월읍 하귀로13길 10,,4,무료,33.4832798,126.4095562
405-1-000154,"하귀동남3길 3, 9",노상,제주특별자치도 제주시 애월읍 하귀동남3길 3,,5,무료,33.4834337,126.4127997
405-1-000155,"하귀1리 201-10, 하귀11길 32",노상,,제주특별자치도 제주시 애월읍 하귀1리 201-10,7,무료,,
405-1-000156,"하귀1리 212-9, 212-8",노상,,제주특별자치도 제주시 애월읍 하귀1리 212-9,4,무료,33.482862,126.4135598
405-1-000157,"하귀11길 29, 하광로 49",노상,제주특별자치도 제주시 애월읍 하귀11길 29,,11,무료,33.4834994,126.4140549
405-1-000158,하귀1리 159,노상,,제주특별자치도 제주시 애월읍 하귀1리 159,14,무료,33.4826558,126.4145584
405-1-000159,하귀11길 3-19,노상,제주특별자치도 제주시 애월읍 하귀11길 3-19,,1,무료,33.4858973,126.4134137
405-1-000160,"하귀1리 561, 하귀1리공영주차장앞",노상,,제주특별자치도 제주시 애월읍 하귀1리 561,3,무료,33.4832718,126.4142794
405-1-000161,"하귀1리 118-1, 하귀9길 8",노상,,제주특별자치도 제주시 애월읍 하귀1리 118-1,6,무료,,
405-1-000162,하귀1리 116-3,노상,,제주특별자치도 제주시 애월읍 하귀1리 116-3,4,무료,33.4866069,126.4152093
405-1-000163,"하귀1리 119-1, 119-2",노상,,제주특별자치도 제주시 애월읍 하귀1리 119-1,4,무료,33.4863148,126.4152751
405-1-000164,"하귀3길 35, 31",노상,제주특별자치도 제주시 애월읍 하귀3길 35,,5,무료,33.4864654,126.4158408
405-1-000165,"하귀1리 140-2, 140-5",노상,,제주특별자치도 제주시 애월읍 하귀1리 140-2,9,무료,33.485792,126.4170107
405-1-000166,"하귀5길 14, 30",노상,제주특별자치도 제주시 애월읍 하귀5길 14,,12,무료,33.4861913,126.4168232
405-1-000167,"하귀1리 146-14, 146-9",노상,,제주특별자치도 제주시 애월읍 하귀1리 146-14,7,무료,33.4867436,126.4186189
405-1-000168,하귀1리 148-2,노상,,제주특별자치도 제주시 애월읍 하귀1리 148-2,2,무료,33.486312,126.4191829
405-1-000169,"하귀1리 153-2, 하귀7길 41",노상,,제주특별자치도 제주시 애월읍 하귀1리 153-2,7,무료,,
405-1-000170,"하귀1리 150-1, 하귀7길 45",노상,,제주특별자치도 제주시 애월읍 하귀1리 150-1,7,무료,,
405-1-000171,"하귀1리 152-2, 149-1",노상,,제주특별자치도 제주시 애월읍 하귀1리 152-2,14,무료,33.4849841,126.4180786
405-1-000172,"하귀로25길 14-1, 14-3",노상,제주특별자치도 제주시 애월읍 하귀로25길 14-1,,4,무료,33.4788451,126.4006838
405-1-000173,"하소로 15-1, 하귀로25길 14-4",노상,제주특별자치도 제주시 애월읍 하소로 15-1,,5,무료,33.4788179,126.4000791
405-1-000174,"하귀로25길 14-3, 26",노상,제주특별자치도 제주시 애월읍 하귀로25길 14-3,,7,무료,33.4786818,126.4006399
405-1-000175,"하귀로25길 9-6, 14-3",노상,제주특별자치도 제주시 애월읍 하귀로25길 9-6,,10,무료,33.4790236,126.4011502
405-1-000176,"하귀로25길 13, 19",노상,제주특별자치도 제주시 애월읍 하귀로25길 13,,8,무료,33.4791121,126.4007473
405-1-000177,하귀로21길 30,노상,제주특별자치도 제주시 애월읍 하귀로21길 30,,12,무료,33.4796335,126.4033249
405-1-000178,하귀로21길 31,노상,제주특별자치도 제주시 애월읍 하귀로21길 31,,5,무료,33.4793315,126.4035201
405-1-000179,하귀2리 1378-12,노상,,제주특별자치도 제주시 애월읍 하귀2리 1378-12,8,무료,33.4816528,126.4059988
405-1-000180,"엄수로 49, 구엄리 1012-4",노상,제주특별자치도 제주시 애월읍 엄수로 49,,10,무료,33.4708619,126.3798484
405-1-000181,구엄리 1009-3,노상,,제주특별자치도 제주시 애월읍 구엄리 1009-3,4,무료,33.4717052,126.3793225
405-1-000182,"엄수로 34, 구엄리 1027-1",노상,제주특별자치도 제주시 애월읍 엄수로 34,,14,무료,33.4720995,126.3791651
405-1-000183,구엄리 1285-5,노상,,제주특별자치도 제주시 애월읍 구엄리 1285-5,11,무료,33.4826941,126.3760786
405-1-000184,"구엄길 90, 84",노상,제주특별자치도 제주시 애월읍 구엄길 90,,5,무료,33.4822099,126.3759833
405-1-000185,"구엄길 70, 구엄리 1136-7",노상,제주특별자치도 제주시 애월읍 구엄길 70,,6,무료,33.4806341,126.3763404
405-1-000186,구엄길 68,노상,제주특별자치도 제주시 애월읍 구엄길 68,,2,무료,33.4804532,126.3763817
405-1-000187,"구엄리 1135-1, 1132",노상,,제주특별자치도 제주시 애월읍 구엄리 1135-1,9,무료,33.4793321,126.3767341
405-1-000188,"구엄리 1112-10, 구엄길 29",노상,,제주특별자치도 제주시 애월읍 구엄리 1112-10,19,무료,,
405-1-000189,"구엄길 25, 13",노상,제주특별자치도 제주시 애월읍 구엄길 25,,14,무료,33.476521,126.3760778
405-1-000190,고성리 443-1,노상,,제주특별자치도 제주시 애월읍 고성리 443-1,2,무료,33.4580904,126.4161088
405-1-000191,고성6길 5,노상,제주특별자치도 제주시 애월읍 고성6길 5,,4,무료,33.4578899,126.4153987
405-1-000192,신엄8길 13,노상,제주특별자치도 제주시 애월읍 신엄8길 13,,12,무료,33.4702319,126.3680079
405-1-000193,엄수로 63,노상,제주특별자치도 제주시 애월읍 엄수로 63,,4,무료,33.470291,126.3811111
405-1-000194,신엄리 2806,노상,,제주특별자치도 제주시 애월읍 신엄리 2806,12,무료,33.477042,126.354079
405-2-000195,신엄리 786-1,노외,,제주특별자치도 제주시 애월읍 신엄리 786-1,19,무료,33.4740076,126.3731182
405-2-000196,"하귀1리 144-8, 144-9, 144-10",노외,,제주특별자치도 제주시 애월읍 하귀1리 144-8,26,무료,33.4861235,126.4180649
405-2-000197,고성리 1448-1,노외,,제주특별자치도 제주시 애월읍 고성리 1448-1,26,무료,33.4657783,126.4096967
405-2-000198,광령리 3066,노외,,제주특별자치도 제주시 애월읍 광령리 3066,9,무료,33.4491447,126.4296375
405-2-000199,하귀1리 193-1,노외,,제주특별자치도 제주시 애월읍 하귀1리 193-1,8,무료,33.4833331,126.4125269
405-2-000200,수산리 1779-8,노외,,제주특별자치도 제주시 애월읍 수산리 1779-8,6,무료,,
405-2-000201,김녕리 1230,노외,,제주특별자치도 제주시 구좌읍 김녕리 1230,8,무료,33.5572942,126.7544188
405-2-000202,김녕리 1407-1,노외,,제주특별자치도 제주시 구좌읍 김녕리 1407-1,8,무료,33.5568016,126.7498899
405-2-000203,"김녕리 1425, 1412",노외,,제주특별자치도 제주시 구좌읍 김녕리 1425,16,무료,33.5573218,126.7505436
405-2-000204,김녕리 1542-1,노외,,제주특별자치도 제주시 구좌읍 김녕리 1542-1,10,무료,33.5561302,126.7511398
405-2-000205,"김녕리 1578-1, 2",노외,,제주특별자치도 제주시 구좌읍 김녕리 1578-1,25,무료,33.5565556,126.7498531
405-2-000206,김녕리 1589-1,노외,,제주특별자치도 제주시 구좌읍 김녕리 1589-1,12,무료,33.5564244,126.7490985
405-2-000207,김녕리 2222,노외,,제주특별자치도 제주시 구좌읍 김녕리 2222,18,무료,33.5547109,126.7484163
405-2-000208,김녕리 2229,노외,,제주특별자치도 제주시 구좌읍 김녕리 2229,16,무료,33.5543812,126.7485492
405-2-000209,김녕리 3650,노외,,제주특별자치도 제주시 구좌읍 김녕리 3650,14,무료,33.5552254,126.746266
405-2-000210,김녕리 3872,노외,,제주특별자치도 제주시 구좌읍 김녕리 3872,9,무료,33.5565003,126.7467448
405-2-000211,김녕리 3891,노외,,제주특별자치도 제주시 구좌읍 김녕리 3891,14,무료,33.5559321,126.7471095
405-2-000212,"김녕리 4018, 4020",노외,,제주특별자치도 제주시 구좌읍 김녕리 4018,25,무료,33.5581525,126.7466603
405-2-000213,"김녕리 492-1, 493-3",노외,,제주특별자치도 제주시 구좌읍 김녕리 492-1,76,무료,33.5583978,126.7626978
405-2-000214,동복리 1543-2,노외,,제주특별자치도 제주시 구좌읍 동복리 1543-2,31,무료,33.5535219,126.7133995
405-2-000215,동복리 1572-1,노외,,제주특별자치도 제주시 구좌읍 동복리 1572-1,9,무료,33.5534458,126.7144502
405-2-000216,세화리 1415-1,노외,,제주특별자치도 제주시 구좌읍 세화리 1415-1,21,무료,33.5228783,126.8571176
405-2-000217,"세화리 1452-12, 1454-8",노외,,제주특별자치도 제주시 구좌읍 세화리 1452-12,12,무료,33.5237646,126.855777
405-2-000218,세화리 1491-2,노외,,제주특별자치도 제주시 구좌읍 세화리 1491-2,44,무료,33.5242848,126.8566849
405-2-000219,"세화리 1500-5, 1500-45",노외,,제주특별자치도 제주시 구좌읍 세화리 1500-5,15,무료,33.5261861,126.857297
405-2-000220,세화리 1507-1,노외,,제주특별자치도 제주시 구좌읍 세화리 1507-1,93,무료,33.5247028,126.8561309
